Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
2048,NSW,BEV, 7 , 17 , 36 
2048,NSW,HFCEV, -   , -   , -   
2048,NSW,Hybrid/PHEV, 49 , 65 , 101 
2049,NSW,ICE," 6,029 "," 5,815 "," 6,017 "
2049,NSW,BEV, 3 , 15 , 46 
2049,NSW,HFCEV, -   , -   , -   
2049,NSW,Hybrid/PHEV, 126 , 187 , 222 
2050,NSW,ICE," 3,889 "," 4,024 "," 3,883 "
2050,NSW,BEV, 8 , 12 , 28 
2050,NSW,HFCEV, -   , -   , -   
2050,NSW,Hybrid/PHEV, 161 , 239 , 302 
2060,NSW,ICE," 9,986 "," 9,833 "," 9,807 "
2060,NSW,BEV, 38 , 81 , 160 
2060,NSW,HFCEV, -   , -   , -   
2060,NSW,Hybrid/PHEV, 322 , 374 , 509 
2061,NSW,ICE," 3,080 "," 3,118 "," 3,073 "
2061,NSW,BEV, 12 , 23 , 44 
2061,NSW,HFCEV, -   , -   , -   
2061,NSW,Hybrid/PHEV, 82 , 98 , 116 
2062,NSW,ICE," 4,035 "," 4,042 "," 3,941 "
2062,NSW,BEV, 11 , 25 , 55 
2062,NSW,HFCEV, -   , -   , -   
2062,NSW,Hybrid/PHEV, 70 , 89 , 123 
2063,NSW,ICE," 3,927 "," 3,899 "," 3,828 "
2063,NSW,BEV, 29 , 51 , 77 
2063,NSW,HFCEV, -   , -   , -   
2063,NSW,Hybrid/PHEV, 95 , 116 , 142 
2064,NSW,ICE," 7,830 "," 9,184 "," 7,666 "
2064,NSW,BEV, 20 , 37 , 67 
2064,NSW,HFCEV, -   , -   , -   
2064,NSW,Hybrid/PHEV, 151 , 251 , 281 
2065,NSW,ICE," 18,776 "," 18,723 "," 18,269 "
2065,NSW,BEV, 73 , 133 , 228 
2065,NSW,HFCEV, -   , -   , -   
2065,NSW,Hybrid/PHEV, 476 , 629 , 790 
2066,NSW,ICE," 19,683 "," 19,607 "," 19,727 "
2066,NSW,BEV, 74 , 136 , 259 
2066,NSW,HFCEV, -   , -   , -   
2066,NSW,Hybrid/PHEV, 469 , 530 , 601 
2067,NSW,ICE," 14,367 "," 14,453 "," 14,703 "
2067,NSW,BEV, 40 , 129 , 241 
