,Vehicle,Cost per km,Cost per 100 km
283,Volvo EX40 Twin Motor,0.058876,5.8876
284,Kia EV6 GT,0.0591632,5.91632
285,Audi Q6 e-tron quattro,0.0591632,5.91632
286,VinFast VF 8 Eco Extended Range,0.0591632,5.91632
287,VinFast VF 8 Plus Extended Range,0.0591632,5.91632
288,Porsche Taycan Turbo Sport Turismo,0.0591632,5.91632
289,NIO EL6 100 kWh,0.0594504,5.94504
290,NIO EL7 75 kWh,0.0594504,5.94504
291,Ford Mustang Mach-E SR AWD,0.0594504,5.94504
292,BMW i7 M70 xDrive,0.059737599999999995,5.9737599999999995
293,Elaris BEO 86 kWh,0.059737599999999995,5.9737599999999995
294,Hyundai IONIQ 5 N,0.059737599999999995,5.9737599999999995
295,Volvo EX40 Twin Motor Performance,0.059737599999999995,5.9737599999999995
296,Mercedes-Benz EQE SUV 350 4MATIC,0.059737599999999995,5.9737599999999995
297,BMW iX xDrive50,0.059737599999999995,5.9737599999999995
298,Voyah Free 106 kWh,0.059737599999999995,5.9737599999999995
299,Tesla Model X Plaid,0.060024799999999996,6.002479999999999
300,Fisker Ocean Ultra,0.060024799999999996,6.002479999999999
301,NIO EL7 100 kWh,0.060024799999999996,6.002479999999999
302,Audi Q8 e-tron 50 quattro,0.060024799999999996,6.002479999999999
303,Audi Q8 e-tron 55 quattro,0.060312,6.0312
304,Maserati GranCabrio Folgore,0.060312,6.0312
305,Porsche Taycan Turbo S Sport Turismo,0.0605992,6.05992
306,Mercedes-Benz EQE SUV 500 4MATIC,0.0605992,6.05992
307,BYD SEAL U 71.8 kWh Comfort,0.0605992,6.05992
308,Genesis GV70 Electrified Sport,0.0605992,6.05992
309,Lotus Emeya R,0.061173599999999995,6.11736
310,Citroen e-Berlingo M 50 kWh,0.061173599999999995,6.11736
311,Audi SQ6 e-tron,0.061173599999999995,6.11736
312,Kia EV9 99.8 kWh RWD,0.061173599999999995,6.11736
313,Ford Mustang Mach-E GT,0.061460799999999996,6.1460799999999995
314,BYD SEAL U 87 kWh Design,0.061748,6.174799999999999
315,Nissan Ariya e-4ORCE 87kWh - 225 kW,0.061748,6.174799999999999
316,Nissan Ariya e-4ORCE 87kWh - 290 kW,0.061748,6.174799999999999
317,BMW iX M60,0.0623224,6.23224
318,Fisker Ocean Extreme,0.0623224,6.23224
319,Citroen e-Berlingo XL 50 kWh,0.0623224,6.23224
320,Mercedes-Benz EQE SUV AMG 43 4MATIC,0.0626096,6.26096
321,Polestar 3 Long Range Dual motor,0.0626096,6.26096
322,Mercedes-Benz EQS SUV 450+,0.0628968,6.289680000000001
323,Rolls-Royce Spectre,0.0628968,6.289680000000001
324,Volvo EX90 Single Motor,0.063184,6.3184000000000005
325,Lotus Eletre,0.063184,6.3184000000000005
326,Kia EV9 99.8 kWh AWD,0.06347119999999999,6.347119999999999
327,Audi SQ8 e-tron Sportback,0.06347119999999999,6.347119999999999
328,Mercedes-Benz EQE SUV AMG 53 4MATIC+,0.06347119999999999,6.347119999999999
329,Mercedes-Benz EQS SUV 450 4MATIC,0.0640456,6.404559999999999
330,Mercedes-Benz EQS SUV 500 4MATIC,0.0640456,6.404559999999999
331,Mercedes-Benz EQS SUV 580 4MATIC,0.0640456,6.404559999999999
332,Jaguar I-Pace EV400,0.0640456,6.404559999999999
333,Volkswagen ID. Buzz Pro,0.0640456,6.404559999999999
334,Kia EV9 99.8 kWh AWD GT-Line,0.0649072,6.49072
335,Lotus Eletre S,0.0651944,6.51944
336,Polestar 3 Long Range Performance,0.0654816,6.54816
337,Volkswagen ID. Buzz LWB Pro,0.066056,6.605600000000001
338,Volvo EX90 Twin Motor,0.066056,6.605600000000001
339,Maxus MIFA 9,0.066056,6.605600000000001
340,Volkswagen ID. Buzz LWB Pro S,0.06663039999999999,6.66304
341,Audi SQ8 e-tron,0.0669176,6.6917599999999995
342,Volkswagen ID. Buzz GTX,0.0677792,6.77792
343,VinFast VF 9 Extended Range,0.0680664,6.80664
344,Maserati Grecale Folgore,0.0683536,6.83536
345,Volvo EX90 Twin Motor Performance,0.0683536,6.83536
346,Hongqi E-HS9 84 kWh,0.0686408,6.86408
