,Postcode,Latitude,Longitude,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
8333,5575,-34.823141,137.544605,SA,BEV,0,0,0
8334,5575,-34.823141,137.544605,SA,HFCEV,0,0,0
8335,5575,-34.823141,137.544605,SA,Hybrid/PHEV,4,16,20
8336,5576,-35.050773,137.56046,SA,ICE,1127,1107,1134
8337,5576,-35.050773,137.56046,SA,BEV,0,0,0
8338,5576,-35.050773,137.56046,SA,HFCEV,0,0,0
8339,5576,-35.050773,137.56046,SA,Hybrid/PHEV,3,4,7
8340,5577,-35.035673,137.310027,SA,ICE,658,662,678
8341,5577,-35.035673,137.310027,SA,BEV,0,0,0
8342,5577,-35.035673,137.310027,SA,HFCEV,0,0,0
8343,5577,-35.035673,137.310027,SA,Hybrid/PHEV,3,3,3
8344,5580,-34.64760231,137.8689205,SA,ICE,418,425,459
8345,5580,-34.64760231,137.8689205,SA,BEV,0,0,0
8346,5580,-34.64760231,137.8689205,SA,HFCEV,0,0,0
8347,5580,-34.64760231,137.8689205,SA,Hybrid/PHEV,3,0,0
8348,5581,-34.789625,137.748829,SA,ICE,605,603,604
8349,5581,-34.789625,137.748829,SA,BEV,0,0,0
8350,5581,-34.789625,137.748829,SA,HFCEV,0,0,0
8351,5581,-34.789625,137.748829,SA,Hybrid/PHEV,0,4,3
8352,5582,-34.94231,137.734592,SA,ICE,619,613,610
8353,5582,-34.94231,137.734592,SA,BEV,0,0,0
8354,5582,-34.94231,137.734592,SA,HFCEV,0,0,0
8355,5582,-34.94231,137.734592,SA,Hybrid/PHEV,0,3,3
8356,5583,-35.1183494,137.7390799,SA,ICE,879,907,892
8357,5583,-35.1183494,137.7390799,SA,BEV,0,0,0
8358,5583,-35.1183494,137.7390799,SA,HFCEV,0,0,0
8359,5583,-35.1183494,137.7390799,SA,Hybrid/PHEV,4,3,3
8360,5600,-33.036339,137.277293,SA,ICE,5858,5899,6032
8361,5600,-33.036339,137.277293,SA,BEV,0,0,0
8362,5600,-33.036339,137.277293,SA,HFCEV,0,0,0
8363,5600,-33.036339,137.277293,SA,Hybrid/PHEV,68,85,103
8364,5601,-32.97404304,137.5647905,SA,ICE,65,64,69
8365,5601,-32.97404304,137.5647905,SA,BEV,0,0,0
8366,5601,-32.97404304,137.5647905,SA,HFCEV,0,0,0
8367,5601,-32.97404304,137.5647905,SA,Hybrid/PHEV,0,0,0
8368,5602,-33.530464,136.860876,SA,ICE,1347,1374,1422
8369,5602,-33.530464,136.860876,SA,BEV,0,0,0
8370,5602,-33.530464,136.860876,SA,HFCEV,0,0,0
8371,5602,-33.530464,136.860876,SA,Hybrid/PHEV,3,4,9
8372,5603,-33.831212,136.499961,SA,ICE,437,441,451
8373,5603,-33.831212,136.499961,SA,BEV,0,0,0
8374,5603,-33.831212,136.499961,SA,HFCEV,0,0,0
8375,5603,-33.831212,136.499961,SA,Hybrid/PHEV,0,3,3
8376,5604,-34.00333,136.301759,SA,ICE,215,229,229
8377,5604,-34.00333,136.301759,SA,BEV,0,0,0
8378,5604,-34.00333,136.301759,SA,HFCEV,0,0,0
8379,5604,-34.00333,136.301759,SA,Hybrid/PHEV,0,0,0
8380,5605,-34.2583,136.154091,SA,ICE,1820,1834,1899
8381,5605,-34.2583,136.154091,SA,BEV,0,0,0
8382,5605,-34.2583,136.154091,SA,HFCEV,0,0,0
8383,5605,-34.2583,136.154091,SA,Hybrid/PHEV,8,10,11
8384,5606,-35.15635681,136.4660851,SA,ICE,12377,12506,12580
8385,5606,-35.15635681,136.4660851,SA,BEV,0,4,9
8386,5606,-35.15635681,136.4660851,SA,HFCEV,0,0,0
8387,5606,-35.15635681,136.4660851,SA,Hybrid/PHEV,89,115,154
8388,5607,-35.156446,136.456454,SA,ICE,4224,4443,4682
8389,5607,-35.156446,136.456454,SA,BEV,0,0,3
8390,5607,-35.156446,136.456454,SA,HFCEV,0,0,0
8391,5607,-35.156446,136.456454,SA,Hybrid/PHEV,16,23,29
8392,5608,-33.034213,137.525354,SA,ICE,8701,8739,8844
8393,5608,-33.034213,137.525354,SA,BEV,0,0,4
8394,5608,-33.034213,137.525354,SA,HFCEV,0,0,0
8395,5608,-33.034213,137.525354,SA,Hybrid/PHEV,89,120,149
8396,5609,-33.021612,137.512634,SA,ICE,1475,1452,1446
8397,5609,-33.021612,137.512634,SA,BEV,3,0,3
8398,5609,-33.021612,137.512634,SA,HFCEV,0,0,0
8399,5609,-33.021612,137.512634,SA,Hybrid/PHEV,9,14,18
8400,5611,-33.25171556,136.8962127,SA,ICE,146,144,151
8401,5611,-33.25171556,136.8962127,SA,BEV,0,0,0
8402,5611,-33.25171556,136.8962127,SA,HFCEV,0,0,0
8403,5611,-33.25171556,136.8962127,SA,Hybrid/PHEV,0,0,0
8404,5630,-34.41994907,135.6694704,SA,ICE,129,129,128
8405,5630,-34.41994907,135.6694704,SA,BEV,0,0,0
8406,5630,-34.41994907,135.6694704,SA,HFCEV,0,0,0
8407,5630,-34.41994907,135.6694704,SA,Hybrid/PHEV,0,0,0
8408,5631,-34.285785,135.66453,SA,ICE,1086,1102,1070
8409,5631,-34.285785,135.66453,SA,BEV,0,0,0
8410,5631,-34.285785,135.66453,SA,HFCEV,0,0,0
8411,5631,-34.285785,135.66453,SA,Hybrid/PHEV,0,3,3
8412,5632,-34.129198,135.635831,SA,ICE,285,288,307
8413,5632,-34.129198,135.635831,SA,BEV,0,0,0
8414,5632,-34.129198,135.635831,SA,HFCEV,0,0,0
8415,5632,-34.129198,135.635831,SA,Hybrid/PHEV,3,0,0
8416,5633,-33.4173351,135.7111465,SA,ICE,360,370,368
8417,5633,-33.4173351,135.7111465,SA,BEV,0,0,0
8418,5633,-33.4173351,135.7111465,SA,HFCEV,0,0,0
8419,5633,-33.4173351,135.7111465,SA,Hybrid/PHEV,0,3,3
8420,5640,-33.606021,136.437661,SA,ICE,1108,1142,1196
8421,5640,-33.606021,136.437661,SA,BEV,0,0,0
8422,5640,-33.606021,136.437661,SA,HFCEV,0,0,0
8423,5640,-33.606021,136.437661,SA,Hybrid/PHEV,3,3,3
8424,5641,-32.78078835,136.3112934,SA,ICE,1070,1083,1107
8425,5641,-32.78078835,136.3112934,SA,BEV,0,0,0
8426,5641,-32.78078835,136.3112934,SA,HFCEV,0,0,0
8427,5641,-32.78078835,136.3112934,SA,Hybrid/PHEV,3,6,7
8428,5642,-33.558726,136.103172,SA,ICE,283,298,302
8429,5642,-33.558726,136.103172,SA,BEV,0,0,0
8430,5642,-33.558726,136.103172,SA,HFCEV,0,0,0
8431,5642,-33.558726,136.103172,SA,Hybrid/PHEV,0,3,0
8432,5650,-33.152294,135.740152,SA,ICE,177,186,204
8433,5650,-33.152294,135.740152,SA,BEV,0,0,0
